size,time,k
1.0,0.00010124441000243678,1.0
2.0,0.00010317523000139772,1.0
3.0,0.00010328249999929539,1.0
4.0,0.000112715019999996,1.0
5.0,0.00011296006000065972,1.0
6.0,0.00010938877000171487,1.0
7.0,0.00013349052000194206,1.0
8.0,0.0001340663900009531,1.0
9.0,0.00012715741000192792,1.0
10.0,0.0001273226400007843,1.0
11.0,0.00012314767000134452,1.0
12.0,0.0001059893399997236,1.0
13.0,0.00010206464000020788,1.0
14.0,0.00010301891999915824,1.0
15.0,0.00011743408999791427,1.0
16.0,0.0001468645099976129,1.0
17.0,0.00014458886999818788,1.0
18.0,0.00014243233999877702,1.0
19.0,0.00014250657000047795,1.0
20.0,0.00014402052000150433,1.0
21.0,0.00014993923000020004,1.0
22.0,0.00013068689999727213,1.0
23.0,0.00015552208999906726,1.0
24.0,0.0001534011100011412,1.0
25.0,0.0001540868500023862,1.0
26.0,0.00015772241999911785,1.0
27.0,0.00015915799000140396,1.0
28.0,0.0001691452199975174,1.0
29.0,0.00014210905999789247,1.0
30.0,0.00018107548999978461,1.0
31.0,0.00018052695000278618,1.0
32.0,0.00017259897000258207,1.0
33.0,0.00016406502000336333,1.0
34.0,0.00015915508000034607,1.0
35.0,0.00016154963000190037,1.0
36.0,0.00015928509999866948,1.0
37.0,0.00018506584000078875,1.0
38.0,0.00020757337000304688,1.0
39.0,0.00017561241000294103,1.0
40.0,0.0001746587100024044,1.0
41.0,0.00020363646000078007,1.0
42.0,0.00017549899999721674,1.0
43.0,0.00021048199999768258,1.0
44.0,0.00020513233999736258,1.0
45.0,0.00021286804000283154,1.0
46.0,0.0001928962700003467,1.0
47.0,0.00018921851999948559,1.0
48.0,0.00018848006000098393,1.0
49.0,0.00023198819999834086,1.0
50.0,0.00022113613000328768,1.0
51.0,0.000241956099998788,1.0
52.0,0.00021954245999950217,1.0
53.0,0.00020707827000023826,1.0
54.0,0.00020668443999966257,1.0
55.0,0.00023897311999917292,1.0
56.0,0.0002473656199981633,1.0
57.0,0.00023388404999877821,1.0
58.0,0.00024099988999751076,1.0
59.0,0.00024164050999843313,1.0
60.0,0.0002573353900015718,1.0
61.0,0.00024785754999811615,1.0
62.0,0.00028796520000014427,1.0
63.0,0.00027102476999971256,1.0
64.0,0.0002254088799963938,1.0
65.0,0.00027630430000044723,1.0
66.0,0.00024089600000024803,1.0
67.0,0.0002499947600017549,1.0
68.0,0.00029248822000226937,1.0
69.0,0.00023968234000221856,1.0
70.0,0.00028611205000288463,1.0
71.0,0.00028858068999852547,1.0
72.0,0.00026360265000221263,1.0
73.0,0.0002669151200007036,1.0
74.0,0.0002522603199986406,1.0
75.0,0.00028268130000014936,1.0
76.0,0.00028272922999803994,1.0
77.0,0.00028673992999756593,1.0
78.0,0.000285897250000744,1.0
79.0,0.0002844130799985578,1.0
80.0,0.00028258538000045517,1.0
81.0,0.0002712325599986798,1.0
82.0,0.00027053304000219214,1.0
83.0,0.0002987912199978382,1.0
84.0,0.0003122083300013401,1.0
85.0,0.00028557881999859093,1.0
86.0,0.00028723156000069137,1.0
87.0,0.0003026146599995627,1.0
88.0,0.0003072539799995866,1.0
89.0,0.0002845696799977304,1.0
90.0,0.00028588922999915666,1.0
91.0,0.0003161305000003267,1.0
92.0,0.0003150993899998866,1.0
93.0,0.0003223871499994857,1.0
94.0,0.0002944104000016523,1.0
95.0,0.0003205015099956654,1.0
96.0,0.0003047413400008736,1.0
97.0,0.0002998720100003993,1.0
98.0,0.00031582351999986713,1.0
99.0,0.0003583266300029209,1.0
100.0,0.00032016352000027834,1.0
101.0,0.00031354374999864376,1.0
102.0,0.0003422641699989981,1.0
103.0,0.0003462660900004266,1.0
104.0,0.0003205048200015881,1.0
105.0,0.0003223634100004347,1.0
106.0,0.00033428749999984573,1.0
107.0,0.00036014685000282045,1.0
108.0,0.00036662874999819904,1.0
109.0,0.00034533582999756617,1.0
110.0,0.00033451033000346796,1.0
111.0,0.0003600593500004834,1.0
112.0,0.00034355556000264186,1.0
