K,k,size,accuracy,precision,recall,f1
10.0,1.0,50.0,0.8,0.9,0.8,0.7999999999999999
10.0,1.0,50.0,1.0,1.0,1.0,1.0
10.0,1.0,50.0,0.4,0.6,0.4,0.4666666666666666
10.0,1.0,50.0,1.0,1.0,1.0,1.0
10.0,1.0,50.0,0.6,0.8,0.6,0.6666666666666666
10.0,1.0,50.0,0.6,0.4,0.6,0.4666666666666666
10.0,1.0,50.0,0.4,0.4,0.4,0.4
10.0,1.0,60.0,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.7666666666666666
10.0,1.0,60.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7222222222222222
10.0,1.0,60.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,1.0,60.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
10.0,1.0,60.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
10.0,1.0,60.0,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5833333333333334
10.0,1.0,60.0,0.6666666666666666,1.0,0.6666666666666666,0.75
10.0,1.0,60.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.611111111111111
10.0,1.0,60.0,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333
10.0,1.0,60.0,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666
10.0,1.0,70.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.19047619047619047
10.0,1.0,70.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
10.0,1.0,70.0,0.7142857142857143,1.0,0.7142857142857143,0.8095238095238094
10.0,1.0,70.0,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7142857142857143
10.0,1.0,70.0,0.5714285714285714,0.619047619047619,0.5714285714285714,0.5476190476190476
10.0,1.0,70.0,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.5142857142857143
10.0,1.0,70.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
10.0,1.0,70.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
10.0,1.0,70.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
10.0,1.0,70.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
10.0,1.0,80.0,0.875,1.0,0.875,0.925
10.0,1.0,80.0,0.625,0.6666666666666666,0.625,0.6166666666666667
10.0,1.0,80.0,0.875,0.9375,0.875,0.8833333333333333
10.0,1.0,80.0,0.5,0.5625,0.5,0.5119047619047619
10.0,1.0,80.0,0.25,0.25,0.25,0.25
10.0,1.0,80.0,0.5,0.375,0.5,0.41666666666666663
10.0,1.0,80.0,0.375,0.3125,0.375,0.3333333333333333
10.0,1.0,80.0,0.625,0.75,0.625,0.6666666666666666
10.0,1.0,80.0,0.625,0.5625,0.625,0.5833333333333333
10.0,1.0,80.0,0.875,0.875,0.875,0.875
10.0,1.0,90.0,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8148148148148148
10.0,1.0,90.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,1.0,90.0,0.5555555555555556,0.7037037037037037,0.5555555555555556,0.5851851851851851
10.0,1.0,90.0,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.3333333333333333
10.0,1.0,90.0,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7037037037037037
10.0,1.0,90.0,0.5555555555555556,0.5,0.5555555555555556,0.5185185185185185
10.0,1.0,90.0,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7111111111111111
10.0,1.0,90.0,0.4444444444444444,0.37037037037037035,0.4444444444444444,0.3888888888888889
10.0,1.0,90.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.48148148148148145
10.0,1.0,90.0,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5925925925925926
10.0,1.0,100.0,0.8,0.7833333333333333,0.8,0.76
10.0,1.0,100.0,0.7,0.75,0.7,0.72
10.0,1.0,100.0,0.3,0.2,0.3,0.2333333333333333
10.0,1.0,100.0,0.6,0.9,0.6,0.7161904761904763
10.0,1.0,100.0,0.6,0.7,0.6,0.6333333333333333
10.0,1.0,100.0,0.5,0.6,0.5,0.5333333333333333
10.0,1.0,100.0,0.8,0.85,0.8,0.8
10.0,1.0,100.0,0.5,0.5,0.5,0.5
10.0,1.0,100.0,0.6,0.6,0.6,0.6
10.0,1.0,100.0,0.9,1.0,0.9,0.9400000000000001
10.0,1.0,110.0,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5818181818181819
10.0,1.0,110.0,0.9090909090909091,0.9545454545454546,0.9090909090909091,0.9191919191919191
10.0,1.0,110.0,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.5151515151515151
10.0,1.0,110.0,0.5454545454545454,0.4772727272727273,0.5454545454545454,0.49090909090909096
10.0,1.0,110.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7939393939393941
10.0,1.0,110.0,0.8181818181818182,0.8484848484848484,0.8181818181818182,0.8030303030303029
10.0,1.0,110.0,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.5454545454545454
10.0,1.0,110.0,0.8181818181818182,0.8939393939393938,0.8181818181818182,0.8121212121212121
10.0,1.0,110.0,0.6363636363636364,0.6666666666666667,0.6363636363636364,0.6212121212121212
10.0,1.0,110.0,0.7272727272727273,0.6590909090909091,0.7272727272727273,0.6727272727272727
10.0,1.0,120.0,0.75,0.8888888888888888,0.75,0.7444444444444445
10.0,1.0,120.0,0.75,0.875,0.75,0.7777777777777778
10.0,1.0,120.0,0.6666666666666666,0.8472222222222222,0.6666666666666666,0.6972222222222223
10.0,1.0,120.0,0.5,0.6527777777777778,0.5,0.5019841269841271
10.0,1.0,120.0,0.8333333333333334,0.8611111111111112,0.8333333333333334,0.8378787878787878
10.0,1.0,120.0,0.4166666666666667,0.3194444444444444,0.4166666666666667,0.34722222222222215
10.0,1.0,120.0,0.5833333333333334,0.6458333333333334,0.5833333333333334,0.5472222222222222
10.0,1.0,120.0,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.7000000000000001
10.0,1.0,120.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
10.0,1.0,120.0,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3611111111111111
10.0,1.0,130.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
10.0,1.0,130.0,0.38461538461538464,0.37179487179487175,0.38461538461538464,0.36153846153846153
10.0,1.0,130.0,0.7692307692307693,0.8333333333333333,0.7692307692307693,0.7615384615384614
10.0,1.0,130.0,0.6923076923076923,0.8461538461538461,0.6923076923076923,0.7051282051282051
10.0,1.0,130.0,0.6153846153846154,0.5641025641025641,0.6153846153846154,0.5846153846153845
10.0,1.0,130.0,0.5384615384615384,0.7307692307692307,0.5384615384615384,0.5769230769230769
10.0,1.0,130.0,0.6153846153846154,0.5769230769230769,0.6153846153846154,0.5641025641025641
10.0,1.0,130.0,0.5384615384615384,0.5769230769230769,0.5384615384615384,0.49743589743589745
10.0,1.0,130.0,0.6153846153846154,0.6538461538461539,0.6153846153846154,0.6153846153846154
10.0,1.0,130.0,0.7692307692307693,0.9102564102564101,0.7692307692307693,0.7769230769230769
10.0,1.0,140.0,0.6428571428571429,0.5952380952380952,0.6428571428571429,0.6071428571428571
10.0,1.0,140.0,0.5714285714285714,0.5595238095238095,0.5714285714285714,0.5428571428571429
10.0,1.0,140.0,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6428571428571429
10.0,1.0,140.0,0.7142857142857143,0.8071428571428572,0.7142857142857143,0.7083333333333333
10.0,1.0,140.0,0.8571428571428571,0.8452380952380952,0.8571428571428571,0.8285714285714285
10.0,1.0,140.0,0.7857142857142857,0.9523809523809523,0.7857142857142857,0.8166666666666667
10.0,1.0,140.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6214285714285713
10.0,1.0,140.0,0.7142857142857143,0.9047619047619048,0.7142857142857143,0.7380952380952381
10.0,1.0,140.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6816326530612244
10.0,1.0,140.0,0.5714285714285714,0.6904761904761905,0.5714285714285714,0.5714285714285714
10.0,1.0,150.0,0.6666666666666666,0.7555555555555554,0.6666666666666666,0.7
10.0,1.0,150.0,0.5333333333333333,0.5166666666666667,0.5333333333333333,0.5047619047619047
10.0,1.0,150.0,0.8,0.8888888888888888,0.8,0.8222222222222223
10.0,1.0,150.0,0.7333333333333333,0.7,0.7333333333333333,0.711111111111111
10.0,1.0,150.0,0.6666666666666666,0.7444444444444444,0.6666666666666666,0.6511111111111112
10.0,1.0,150.0,0.6,0.55,0.6,0.5492063492063491
10.0,1.0,150.0,0.8,0.8666666666666667,0.8,0.8266666666666667
10.0,1.0,150.0,0.6,0.6333333333333333,0.6,0.5777777777777777
10.0,1.0,150.0,0.5333333333333333,0.4222222222222222,0.5333333333333333,0.4666666666666667
10.0,1.0,150.0,0.6666666666666666,0.7666666666666667,0.6666666666666666,0.7022222222222222
10.0,1.0,160.0,0.5625,0.5208333333333333,0.5625,0.5375
10.0,1.0,160.0,0.5625,0.640625,0.5625,0.5556547619047619
10.0,1.0,160.0,0.625,0.625,0.625,0.5958333333333333
10.0,1.0,160.0,0.5625,0.5333333333333333,0.5625,0.5270833333333333
10.0,1.0,160.0,0.8125,0.859375,0.8125,0.806547619047619
10.0,1.0,160.0,0.5,0.6791666666666666,0.5,0.4958333333333333
10.0,1.0,160.0,0.875,0.8333333333333334,0.875,0.85
10.0,1.0,160.0,0.6875,0.84375,0.6875,0.7229166666666667
10.0,1.0,160.0,0.6875,0.84375,0.6875,0.7291666666666666
10.0,1.0,160.0,0.75,0.71875,0.75,0.7291666666666666
10.0,1.0,170.0,0.5294117647058824,0.46274509803921565,0.5294117647058824,0.4725490196078431
10.0,1.0,170.0,0.7647058823529411,0.9117647058823529,0.7647058823529411,0.8078431372549019
10.0,1.0,170.0,0.8235294117647058,0.7725490196078431,0.8235294117647058,0.7794117647058824
10.0,1.0,170.0,0.7058823529411765,0.6941176470588236,0.7058823529411765,0.6593837535014005
10.0,1.0,170.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6274509803921569
10.0,1.0,170.0,0.7058823529411765,0.75,0.7058823529411765,0.6708683473389355
