x,y
-94.46268,11.588912
-5.8398185,57.594326
-27.528105,-77.36932
52.801884,-16.308638
77.15713,10.930565
-44.50865,-22.610006
54.40838,-44.326195
-26.916124,95.71046
-83.669266,-53.421425
28.151077,15.894241
85.110855,-63.69706
-57.12977,4.815997
-31.536377,50.980495
-47.338974,-35.93035
-22.257412,-8.504591
-41.200516,11.251801
-27.791616,81.815636
90.86211,-30.46126
72.19544,-5.2476935
-0.6573837,-39.364853
4.715433,11.7430315
40.272427,58.0328
12.797162,-0.97224617
-87.54324,-25.517313
56.044037,4.7572494
-58.24945,-48.54184
1.4981024,-66.206985
-14.65209,-20.515299
78.562546,68.83513
-13.945059,-44.232758
39.68762,30.43814
60.256073,-17.794167
71.20564,43.46193
-7.694256,-26.336926
99.94338,-19.007038
-8.564371,57.798862
2.7127542,-32.23263
-93.10839,-21.168732
-97.956726,-25.858145
57.81341,-4.2288585
3.0795002,-72.526634
-5.401802,-18.775852
-93.13103,61.18802
29.98655,-16.252613
32.3503,-17.355244
42.124096,60.773014
-38.530216,-7.5724974
94.1813,44.62973
13.894333,102.73677
-44.464108,3.7993882
22.547886,52.547035
-21.667898,7.4333773
-97.68795,-25.964312
-26.297789,-75.72855
10.9716425,-108.65722
-24.16122,-40.230453
-39.757885,66.465675
29.996939,15.580695
11.18118,-25.247234
-1.2835497,-71.27089
27.86851,30.413273
14.892467,56.74555
-10.957183,-7.761465
97.78917,-37.078438
33.07072,34.330536
9.567478,33.502075
7.3110943,78.726105
-76.47255,39.084682
-37.51991,43.267426
-10.26431,-54.496773
-47.350796,-52.238075
-24.021585,29.062862
13.848984,-84.06303
14.967501,-3.483155
-43.80706,-19.899609
-48.21721,37.363605
71.66664,3.1599689
-31.434324,-40.06284
-24.367838,20.861006
22.562128,68.409584
48.62562,-51.568478
-58.11777,-39.9326
-56.47365,-52.763844
15.744243,8.331163
-13.713717,-98.3184
-0.0071194703,4.9918756
87.46487,43.568474
54.582737,-51.363564
-38.923702,10.176655
-24.844625,-46.385414
0.6855201,-55.43993
28.239347,107.79958
57.685474,-12.055101
17.99912,-86.47909
70.57412,82.756035
45.80599,-67.40616
32.69081,91.736046
-18.341322,45.95483
-39.28461,-30.178858
59.50303,-53.35048
-97.27718,1.3243928
48.09753,14.172122
-9.067775,-15.643062
-23.274052,96.0858
69.06231,-28.020456
97.09419,-45.448647
-58.424942,33.304096
-11.8144,78.76587
-10.055516,-0.32180917
18.853848,-86.47467
78.13782,-75.805984
74.424576,67.39853
-68.50788,-19.243744
36.14965,-65.942856
-63.75411,75.31477
40.57399,46.95132
-16.479929,-10.2193165
-76.58695,79.50278
58.060165,-57.543736
85.09871,-6.785186
-42.635464,0.61574334
-54.668457,-79.139206
7.08866,-18.24689
-22.747438,-12.611262
63.367897,15.497587
61.246815,-61.847027
-8.175452,-35.42815
22.56567,83.32589
30.053377,24.357235
38.089962,76.62206
54.372177,88.952194
-52.01581,-2.6874006
48.315224,-80.13474
42.933895,-8.462403
44.245243,97.12733
-86.57654,-39.01985
35.83161,-22.192778
-13.330115,-89.10891
-9.257412,-35.459194
-21.4795,-69.448616
26.783495,-0.82907385
-43.460716,7.263296
24.249538,-52.866272
-49.846634,-2.1935964
44.49966,-36.655643
18.310059,-26.233929
-69.820724,17.00113
27.295715,107.69809
5.9242477,50.473595
67.13567,5.356492
80.98367,38.121452
-91.98735,-9.32087
10.144476,2.8371036
22.382286,15.273652
-28.413195,37.777172
94.1148,-40.820908
85.22992,42.90809
-10.788205,94.51601
-3.7796712,8.052445
-17.4369,-105.59859
-35.122578,50.66033
30.784285,37.503716
-6.9776154,-31.69083
69.52512,25.917685
40.903168,6.227193
-33.383015,44.831818
-12.662677,55.326347
67.872154,34.19284
83.348236,34.308132
13.0829115,68.82136
63.659607,-62.96122
-56.445675,63.97361
-84.841675,-38.55327
27.979614,-1.8907957
26.990261,-13.574733
7.7666693,-54.996162
-6.4811573,-97.71907
-72.05126,43.78979
2.542594,-2.5994544
64.68644,28.315887
-59.59421,-40.99584
25.973717,7.6231694
4.6423564,-18.43267
38.51056,-0.51581985
-92.309044,28.737408
68.77884,20.846127
-8.643845,102.06957
-34.291862,-25.714243
91.630035,11.039982
-10.963253,-7.853642
-33.15168,6.7186522
40.07882,-88.60105
37.980015,88.302246
65.286354,37.09698
42.579453,23.222631
38.94767,56.13122
-43.126633,93.19171
5.1914907,13.592284
52.751846,-30.49993
-65.635155,10.348671
77.591324,-15.795426
-4.3306646,68.88643
-23.218735,90.77246
-47.612698,-80.849365
5.094506,91.38353
38.42407,-63.57444
-45.110733,-53.639282
31.177631,91.6451
24.98886,-24.922668
-44.414024,60.233295
-27.873137,-19.515951
-41.492973,63.8554
-83.41429,-32.70897
-20.019678,-50.03802
-54.542065,-19.280571
59.550148,80.08499
8.576232,-79.09903
-87.97539,9.914022
