K,k,size,accuracy,precision,recall,f1
10.0,5.0,50.0,0.4,0.4,0.4,0.4
10.0,5.0,50.0,0.6,0.8,0.6,0.6666666666666666
10.0,5.0,50.0,0.4,0.3,0.4,0.3333333333333333
10.0,5.0,50.0,0.4,0.3,0.4,0.3333333333333333
10.0,5.0,50.0,0.4,0.3,0.4,0.3333333333333333
10.0,5.0,50.0,0.6,0.8,0.6,0.6666666666666666
10.0,6.0,60.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,6.0,60.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,6.0,60.0,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.611111111111111
10.0,6.0,60.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7222222222222222
10.0,6.0,60.0,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666
10.0,6.0,60.0,0.5,0.5,0.5,0.5
10.0,6.0,60.0,0.5,0.5,0.5,0.5
10.0,6.0,60.0,0.5,0.4166666666666667,0.5,0.4444444444444444
10.0,6.0,60.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,6.0,60.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.1111111111111111
10.0,7.0,70.0,0.5714285714285714,0.4047619047619047,0.5714285714285714,0.4666666666666667
10.0,7.0,70.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7619047619047619
10.0,7.0,70.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.37142857142857144
10.0,7.0,70.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
10.0,7.0,70.0,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.6666666666666666
10.0,7.0,70.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
10.0,7.0,70.0,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.2857142857142857
10.0,7.0,70.0,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094
10.0,7.0,70.0,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.23809523809523808
10.0,7.0,70.0,0.5714285714285714,0.5,0.5714285714285714,0.5238095238095238
10.0,8.0,80.0,0.375,0.375,0.375,0.3333333333333333
10.0,8.0,80.0,0.375,0.625,0.375,0.4375
10.0,8.0,80.0,0.25,0.375,0.25,0.29166666666666663
10.0,8.0,80.0,0.5,0.5,0.5,0.5
10.0,8.0,80.0,0.75,0.6875,0.75,0.7083333333333333
10.0,8.0,80.0,0.625,0.8125,0.625,0.6666666666666666
10.0,8.0,80.0,0.375,0.625,0.375,0.45833333333333326
10.0,8.0,80.0,0.5,0.41666666666666663,0.5,0.45
10.0,8.0,80.0,0.625,0.625,0.625,0.5833333333333333
10.0,8.0,80.0,0.375,0.3125,0.375,0.3333333333333333
10.0,9.0,90.0,0.5555555555555556,0.39814814814814814,0.5555555555555556,0.4444444444444444
10.0,9.0,90.0,0.5555555555555556,0.7037037037037037,0.5555555555555556,0.574074074074074
10.0,9.0,90.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,9.0,90.0,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.7222222222222222
10.0,9.0,90.0,0.4444444444444444,0.4722222222222222,0.4444444444444444,0.4148148148148148
10.0,9.0,90.0,0.3333333333333333,0.5,0.3333333333333333,0.37037037037037035
10.0,9.0,90.0,0.4444444444444444,0.4259259259259259,0.4444444444444444,0.3888888888888889
10.0,9.0,90.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
10.0,9.0,90.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
10.0,9.0,90.0,0.6666666666666666,0.7037037037037037,0.6666666666666666,0.6592592592592592
10.0,10.0,100.0,0.5,0.45,0.5,0.4666666666666666
10.0,10.0,100.0,0.7,0.75,0.7,0.7
10.0,10.0,100.0,0.7,0.7,0.7,0.7
10.0,10.0,100.0,0.8,0.8333333333333333,0.8,0.7933333333333333
10.0,10.0,100.0,0.7,0.8,0.7,0.7333333333333333
10.0,10.0,100.0,0.4,0.6,0.4,0.4666666666666666
10.0,10.0,100.0,0.4,0.325,0.4,0.33999999999999997
10.0,10.0,100.0,0.6,0.65,0.6,0.5666666666666667
10.0,10.0,100.0,0.6,0.6,0.6,0.6
10.0,10.0,100.0,0.5,0.4833333333333333,0.5,0.4666666666666667
10.0,11.0,110.0,0.6363636363636364,0.712121212121212,0.6363636363636364,0.6484848484848486
10.0,11.0,110.0,0.36363636363636365,0.3181818181818182,0.36363636363636365,0.3333333333333333
10.0,11.0,110.0,0.5454545454545454,0.5,0.5454545454545454,0.5194805194805195
10.0,11.0,110.0,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.5666666666666667
10.0,11.0,110.0,0.5454545454545454,0.6818181818181818,0.5454545454545454,0.5303030303030303
10.0,11.0,110.0,0.6363636363636364,0.7454545454545454,0.6363636363636364,0.6424242424242425
10.0,11.0,110.0,0.6363636363636364,0.5151515151515151,0.6363636363636364,0.5545454545454546
10.0,11.0,110.0,0.36363636363636365,0.3939393939393939,0.36363636363636365,0.34848484848484845
10.0,11.0,110.0,0.8181818181818182,0.7727272727272727,0.8181818181818182,0.7878787878787878
10.0,11.0,110.0,0.6363636363636364,0.5909090909090909,0.6363636363636364,0.5757575757575757
10.0,12.0,120.0,0.5833333333333334,0.6527777777777778,0.5833333333333334,0.5750000000000001
10.0,12.0,120.0,0.5,0.46527777777777773,0.5,0.4361111111111111
10.0,12.0,120.0,0.6666666666666666,0.6944444444444443,0.6666666666666666,0.638888888888889
10.0,12.0,120.0,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.7055555555555557
10.0,12.0,120.0,0.6666666666666666,0.611111111111111,0.6666666666666666,0.6333333333333333
10.0,12.0,120.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5222222222222223
10.0,12.0,120.0,0.5833333333333334,0.5972222222222222,0.5833333333333334,0.5305555555555556
10.0,12.0,120.0,0.6666666666666666,0.736111111111111,0.6666666666666666,0.6472222222222223
10.0,12.0,120.0,0.4166666666666667,0.6805555555555555,0.4166666666666667,0.4694444444444444
10.0,12.0,120.0,0.4166666666666667,0.21527777777777776,0.4166666666666667,0.27777777777777773
10.0,13.0,130.0,0.6923076923076923,0.5615384615384615,0.6923076923076923,0.6007326007326007
10.0,13.0,130.0,0.6153846153846154,0.7884615384615384,0.6153846153846154,0.6351648351648352
10.0,13.0,130.0,0.5384615384615384,0.5641025641025641,0.5384615384615384,0.5333333333333333
10.0,13.0,130.0,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.6974358974358974
10.0,13.0,130.0,0.46153846153846156,0.37179487179487175,0.46153846153846156,0.3974358974358974
10.0,13.0,130.0,0.46153846153846156,0.5192307692307693,0.46153846153846156,0.47619047619047616
10.0,13.0,130.0,0.5384615384615384,0.641025641025641,0.5384615384615384,0.558974358974359
10.0,13.0,130.0,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.5717948717948718
10.0,13.0,130.0,0.6153846153846154,0.9038461538461539,0.6153846153846154,0.658974358974359
10.0,13.0,130.0,0.3076923076923077,0.34615384615384615,0.3076923076923077,0.3230769230769231
10.0,14.0,140.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.32142857142857145
10.0,14.0,140.0,0.7142857142857143,0.6904761904761905,0.7142857142857143,0.6877551020408162
10.0,14.0,140.0,0.8571428571428571,0.875,0.8571428571428571,0.8551020408163266
10.0,14.0,140.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
10.0,14.0,140.0,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6666666666666666
10.0,14.0,140.0,0.6428571428571429,0.7738095238095237,0.6428571428571429,0.6500000000000001
10.0,14.0,140.0,0.5,0.47619047619047616,0.5,0.4619047619047619
10.0,14.0,140.0,0.42857142857142855,0.6071428571428571,0.42857142857142855,0.4642857142857143
10.0,14.0,140.0,0.5714285714285714,0.7023809523809523,0.5714285714285714,0.5785714285714285
10.0,14.0,140.0,0.8571428571428571,0.8809523809523808,0.8571428571428571,0.8571428571428571
10.0,15.0,150.0,0.6,0.6555555555555554,0.6,0.5933333333333333
10.0,15.0,150.0,0.6,0.7444444444444446,0.6,0.6196825396825396
10.0,15.0,150.0,0.6,0.9222222222222222,0.6,0.6755555555555556
10.0,15.0,150.0,0.6,0.611111111111111,0.6,0.551111111111111
10.0,15.0,150.0,0.4,0.3555555555555555,0.4,0.3733333333333333
10.0,15.0,150.0,0.4,0.4611111111111111,0.4,0.38
10.0,15.0,150.0,0.5333333333333333,0.6533333333333334,0.5333333333333333,0.5544444444444444
10.0,15.0,150.0,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.6666666666666666
10.0,15.0,150.0,0.6,0.6666666666666666,0.6,0.6222222222222221
10.0,15.0,150.0,0.3333333333333333,0.6333333333333333,0.3333333333333333,0.4031746031746032
10.0,16.0,160.0,0.75,0.859375,0.75,0.7479166666666667
10.0,16.0,160.0,0.5625,0.39375,0.5625,0.44642857142857145
10.0,16.0,160.0,0.4375,0.7083333333333333,0.4375,0.4895833333333333
10.0,16.0,160.0,0.6875,0.7,0.6875,0.6597222222222222
10.0,16.0,160.0,0.5,0.4895833333333333,0.5,0.47291666666666665
10.0,16.0,160.0,0.5,0.6458333333333333,0.5,0.4375
10.0,16.0,160.0,0.5,0.5520833333333333,0.5,0.49583333333333335
10.0,16.0,160.0,0.5625,0.5052083333333334,0.5625,0.5071428571428571
10.0,16.0,160.0,0.5625,0.6875,0.5625,0.5744047619047619
10.0,16.0,160.0,0.5,0.4583333333333333,0.5,0.46875
10.0,17.0,170.0,0.35294117647058826,0.4313725490196078,0.35294117647058826,0.3509803921568628
10.0,17.0,170.0,0.47058823529411764,0.38235294117647056,0.47058823529411764,0.41568627450980394
10.0,17.0,170.0,0.5294117647058824,0.6666666666666667,0.5294117647058824,0.5470588235294118
10.0,17.0,170.0,0.5882352941176471,0.6764705882352942,0.5882352941176471,0.5830065359477125
10.0,17.0,170.0,0.4117647058823529,0.6764705882352942,0.4117647058823529,0.45098039215686275
10.0,17.0,170.0,0.5882352941176471,0.5588235294117647,0.5882352941176471,0.5529411764705883
10.0,17.0,170.0,0.7058823529411765,0.7401960784313725,0.7058823529411765,0.6865546218487395
10.0,17.0,170.0,0.47058823529411764,0.4117647058823529,0.47058823529411764,0.40784313725490196
10.0,17.0,170.0,0.47058823529411764,0.5098039215686274,0.47058823529411764,0.4588235294117647
10.0,17.0,170.0,0.5882352941176471,0.5686274509803921,0.5882352941176471,0.5605042016806723
10.0,18.0,180.0,0.6111111111111112,0.5787037037037037,0.6111111111111112,0.553968253968254
10.0,18.0,180.0,0.5,0.6944444444444444,0.5,0.5203703703703704
10.0,18.0,180.0,0.5555555555555556,0.8055555555555556,0.5555555555555556,0.5992063492063493
10.0,18.0,180.0,0.8333333333333334,0.8518518518518517,0.8333333333333334,0.8277777777777778
10.0,18.0,180.0,0.7777777777777778,0.8583333333333333,0.7777777777777778,0.7713403880070547
