x,y
-1.6430038,1.3748884
-21.978615,-68.2221
45.473938,8.381431
-4.7274566,47.97952
35.96177,50.735092
39.988937,-1.9947826
51.71923,35.059345
-2.5692012,-12.125697
42.4803,-30.345087
-44.735516,2.606001
-13.3107605,57.07001
-0.6223165,6.306384
27.608625,-61.498512
-4.924792,26.632858
31.463135,6.6487846
9.682943,-1.9707234
-6.9153395,-56.05713
48.861,49.163616
18.366993,36.00467
-23.298197,23.527733
-50.347935,-17.509039
-23.884151,-15.090378
31.90544,21.162354
44.81033,-39.347443
19.221107,32.14996
55.99562,-19.762392
50.034786,11.16658
22.31349,22.34654
-41.119965,-16.79417
-36.560505,38.662712
14.207524,-36.887283
-3.7806933,52.420914
-31.789846,-36.346344
19.054138,22.569166
18.739204,27.1605
-27.514729,-50.467518
-11.801915,23.451542
68.64583,-9.084404
64.99061,-11.908679
-30.590586,57.283173
55.704052,18.841394
4.0530033,25.877548
16.221666,-57.34886
9.470822,40.317245
4.5218124,41.889668
-21.541851,-26.799707
27.553545,-3.735049
-50.122227,-25.544037
-20.691843,-9.483095
26.605003,1.9376593
2.3351784,-31.829285
14.805524,10.961064
68.84335,-10.654782
50.676437,10.275068
-50.4931,19.382088
61.893528,1.1734802
6.7811184,-51.769295
-40.68496,1.8111143
3.9637322,30.22852
46.18059,11.750723
8.254956,-29.40204
-16.161985,-45.118275
30.315231,12.474069
33.75705,60.013287
-0.51183635,-39.41866
-44.31811,-5.6823125
-5.5867286,-33.11166
42.674046,-51.027473
-26.739153,5.851828
-38.78477,38.845707
25.317408,-24.50137
-62.03979,-23.988846
-49.690983,43.583622
41.549076,26.86869
25.218494,-10.448789
-59.560394,0.10553114
40.8798,43.532818
46.506584,14.173122
20.987778,17.151915
-16.370197,-29.247255
-15.216707,28.921686
23.558922,-27.51804
34.670517,-17.487215
-39.40525,-4.6172805
-64.87737,21.204668
29.625725,18.592026
-39.407887,-26.621082
-22.514683,33.445717
20.819197,14.26426
57.220455,14.104348
-21.18725,50.765457
-8.375482,-19.641508
-5.990637,60.79414
-35.7898,35.68712
-39.321026,-11.539384
-18.084385,27.133833
-33.81599,-26.955746
-20.807629,3.5269299
23.575123,-18.98422
-29.572903,33.7838
-10.641895,1.2360914
13.06452,-37.580612
-7.336891,39.16806
1.4871347,-17.706493
-28.324316,39.82952
-7.7265677,68.16544
-69.46205,-6.273798
-5.7791023,-27.736444
28.270641,9.574804
-46.730255,40.780388
-6.6631284,71.75165
-32.415737,-9.15604
57.839695,-27.35953
-39.139256,56.66991
16.238472,-53.654438
-36.331867,-46.761997
38.473118,21.820362
11.922651,-47.622223
-27.606602,31.534342
-31.865028,34.84076
14.809338,-4.3772917
37.04124,-18.226675
-3.086465,31.132708
35.892273,-1.847969
32.135498,41.934624
1.1951317,55.348625
-23.948824,19.204432
-18.980885,-27.889637
25.3,-59.368145
-24.906885,-20.452015
-34.913177,-11.169766
-5.3114204,17.999716
-30.39876,26.295574
15.901488,29.109764
-29.96258,-13.180129
73.22457,7.0799804
35.327427,32.222374
-47.752163,7.5237613
-9.085537,18.139105
-65.148155,11.663702
4.5101895,44.55758
27.036444,1.2518309
-12.634704,20.242622
-0.00173764,22.542768
18.668804,51.00277
20.395185,21.547567
4.3902407,-1.5590361
-18.919083,-19.019445
-13.27106,-56.093445
33.77173,52.846855
-50.82524,-32.540672
11.8010235,-14.405148
36.288467,13.239321
-39.291496,2.4402385
-23.916534,7.6848664
14.801497,64.92419
-47.928802,-35.035904
0.45316532,-13.899178
18.79829,15.080148
-38.96915,10.1806
37.894444,-47.887512
19.761683,-41.318638
-27.447779,17.655287
-38.88223,-38.543743
-4.9815865,45.785107
-32.26055,1.7876623
5.6436424,-46.175304
-51.655262,-43.372887
-47.493484,-28.731144
-20.275888,-3.1349287
2.5545757,58.932068
8.339367,-61.43239
67.70554,10.308543
11.9456415,35.41239
-6.3057046,32.946674
53.53281,11.936652
-65.57738,33.889126
27.998135,-58.963047
33.92338,22.875391
-43.20233,-53.134865
28.372957,-29.332256
-17.66069,17.489725
-3.0607076,33.195004
-5.739123,51.967003
-28.58287,13.338366
41.0315,50.91671
-0.49033827,-12.359841
37.148865,4.6167054
24.281712,52.673992
18.840685,-10.889262
16.138563,15.152909
-47.943413,30.335896
-23.41854,-11.618109
-40.18987,-44.937397
9.528303,-27.033754
-34.018322,-42.45614
-11.014763,-23.663176
-46.906586,-13.443076
27.575064,34.91042
7.4462442,11.290471
41.51492,34.81653
-27.538656,-55.569168
-12.871777,-17.091475
37.348793,-22.837534
2.0966508,-20.161144
17.848576,47.02811
28.731863,-18.779352
-21.872828,-19.43311
12.89284,25.936987
9.037328,-61.98311
35.76315,-3.4659393
-2.0893757,-66.57558
58.058002,-29.325653
-56.873283,10.742478
25.682863,-12.600655
-38.995632,-16.54643
27.04325,45.40049
-15.140455,5.9167914
-20.407927,32.713127
-47.899666,51.345222
-26.446465,21.253633
3.547173,35.32192
-14.453604,50.134617
18.215841,34.798786
37.205425,36.301918
22.348364,-16.864132
-26.442549,12.712331
-33.019703,-60.85819
17.656345,-27.909004
-64.12476,-4.4323564
-18.41027,2.232838
19.808523,0.39274085
44.563057,7.8021717
32.65631,-5.9422584
-52.00504,-14.7101345
-35.256824,-29.666752
14.939936,53.3082
-38.451733,7.579302
43.02206,44.353226
-9.033293,-50.27719
4.7857614,-34.61991
-44.662098,45.872913
4.98794,-46.1154
10.956357,59.025455
-13.273929,-22.019644
-38.586628,-29.208378
-40.62333,-23.6171
32.744816,-27.261778
37.423813,43.50238
-62.65445,-1.239847
46.46612,-12.6882305
25.574095,-2.1050563
-1.7053865,-18.037363
8.294114,-48.22416
26.815908,46.207077
22.818949,17.306885
-2.8217626,-64.118256
13.072393,34.412823
-40.00857,24.542469
32.37542,54.460854
11.167328,54.270725
-33.310497,-39.256115
-67.600784,3.9856453
38.912613,-2.858622
-25.791943,-58.82285
36.807213,-44.997616
44.821476,-28.765182
33.76671,-27.321836
28.26263,48.01696
10.783236,28.433697
-60.767864,4.3645053
58.84221,22.772577
-10.23811,-58.20969
12.223273,32.000427
-24.564943,-7.327919
39.216026,-16.989632
10.736075,7.784601
-34.760204,-16.25633
-1.6704141,14.478567
-54.434826,16.230251
-46.685444,19.333187
-30.333763,-1.5199414
38.263985,-25.794413
35.303738,11.357555
-69.15402,2.0740585
-1.5195783,23.006475
41.11763,50.90025
-31.595705,14.992818
-14.130915,-34.207314
3.3426633,-41.879887
-60.416782,-17.067041
43.0521,28.737352
-28.872377,-11.533156
26.596836,1.945722
-9.638569,18.716913
-15.305167,6.2317986
46.427715,-31.835838
-10.717543,-17.602798
30.378006,-39.391014
21.990782,-12.652527
39.27189,49.85276
-14.467673,10.662638
40.64347,-51.704586
30.785463,-47.670574
48.231113,29.176178
-0.32820797,-1.7437603
-0.3105873,23.933136
-23.875977,39.71265
45.84306,-5.3619123
14.594225,19.367443
-54.902428,27.52291
-39.95209,-51.265327
-11.69298,3.4449503
49.94214,-43.518745
-28.914091,-10.1608715
-23.767006,22.765928
-17.007563,52.601532
-23.063166,41.434467
-5.8097105,-45.64473
-34.531143,-50.146255
14.257157,27.425184
-22.314144,42.872772
-41.60754,-24.352173
22.759304,37.04591
9.288034,-7.124737
-5.5264306,35.706497
5.056025,12.920332
50.639397,5.3754888
-1.6841234,-26.147503
-18.916227,-4.6737976
17.311277,-14.036418
23.081589,-49.93067
-38.018147,-2.159382
17.037542,-16.167522
-59.21964,-0.7551151
-54.048306,-29.157757
1.5365154,8.231782
55.63096,-35.803116
-39.588284,-48.08203
-27.467823,22.440102
1.9008154,51.512108
28.790165,-7.350165
32.24313,55.354813
34.008698,-13.637907
38.310577,11.920593
23.255611,-9.16529
11.007689,-16.544699
21.303576,-15.370726
-7.949831,45.98823
-57.434273,-10.716446
-29.931372,8.644393
19.118748,0.8725433
-1.1523986,11.411584
37.02661,-42.22041
31.767431,11.01961
3.8470747,-43.96595
35.972744,-16.06683
30.471542,33.77487
-35.653404,-15.453714
40.287144,-16.673834
58.28126,-10.679469
-17.038445,-21.248245
-27.67796,13.385672
