K,k,size,accuracy,precision,recall,f1
10.0,90.0,100.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,99.0,110.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,108.0,120.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,117.0,130.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,126.0,140.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.3333333333333333,0.19333333333333333,0.3333333333333333,0.22222222222222224
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,135.0,150.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,144.0,160.0,0.0,0.0,0.0,0.0
10.0,153.0,170.0,0.0,0.0,0.0,0.0
10.0,153.0,170.0,0.0,0.0,0.0,0.0
10.0,153.0,170.0,0.0,0.0,0.0,0.0
10.0,153.0,170.0,0.0,0.0,0.0,0.0
