K,k,alpha,size,accuracy,precision,recall,f1
2.0,5.0,20.0,3000.0,0.7693333333333333,0.774094779279194,0.7693333333333333,0.7706816723735189
2.0,5.0,20.0,3000.0,0.772,0.7733993724615378,0.772,0.7717723940452449
3.0,5.0,20.0,3000.0,0.773,0.7792662568163187,0.773,0.7748932900517682
3.0,5.0,20.0,3000.0,0.768,0.768977392744565,0.768,0.7659048078035171
3.0,5.0,20.0,3000.0,0.803,0.804897445770299,0.803,0.8029393438497562
4.0,5.0,20.0,3000.0,0.7706666666666667,0.7679062304812402,0.7706666666666667,0.7680771929166391
4.0,5.0,20.0,3000.0,0.74,0.747348730237957,0.74,0.7409033627399398
4.0,5.0,20.0,3000.0,0.7986666666666666,0.8034529862613781,0.7986666666666666,0.7999925785923832
4.0,5.0,20.0,3000.0,0.7866666666666666,0.7873141113397047,0.7866666666666666,0.7859620778967015
5.0,5.0,20.0,3000.0,0.8016666666666666,0.8039214759065665,0.8016666666666666,0.8014763648432524
5.0,5.0,20.0,3000.0,0.7766666666666666,0.7785964862860822,0.7766666666666666,0.7757321743707228
5.0,5.0,20.0,3000.0,0.7833333333333333,0.7884293007095267,0.7833333333333333,0.784952218190256
5.0,5.0,20.0,3000.0,0.8033333333333333,0.8064367538921638,0.8033333333333333,0.8041785714403524
5.0,5.0,20.0,3000.0,0.785,0.7856718825980112,0.785,0.7829194115399252
6.0,5.0,20.0,3000.0,0.784,0.7814811231943642,0.784,0.7816535670478556
6.0,5.0,20.0,3000.0,0.778,0.776550238325464,0.778,0.7757048860492671
6.0,5.0,20.0,3000.0,0.768,0.7687890155106033,0.768,0.7670394962537285
6.0,5.0,20.0,3000.0,0.792,0.8001304995242801,0.792,0.7947069334506637
6.0,5.0,20.0,3000.0,0.76,0.7616002792872762,0.76,0.7577317659769546
6.0,5.0,20.0,3000.0,0.768,0.7755266027486043,0.768,0.7687228210327912
7.0,5.0,20.0,3000.0,0.8018648018648019,0.8038372124016131,0.8018648018648019,0.8012929401908737
7.0,5.0,20.0,3000.0,0.7995337995337995,0.7978124307912774,0.7995337995337995,0.7964303003982889
7.0,5.0,20.0,3000.0,0.745920745920746,0.743331909145935,0.745920745920746,0.7425206097750121
7.0,5.0,20.0,3000.0,0.7808857808857809,0.7885423716810348,0.7808857808857809,0.7838257651648263
7.0,5.0,20.0,3000.0,0.8200934579439252,0.8277935974092047,0.8200934579439252,0.8219454894533115
7.0,5.0,20.0,3000.0,0.8154205607476636,0.8144495838296252,0.8154205607476636,0.8133004397617044
7.0,5.0,20.0,3000.0,0.7616822429906542,0.7612606592935628,0.7616822429906542,0.7585943810567629
8.0,5.0,20.0,3000.0,0.7813333333333333,0.7826669906630499,0.7813333333333333,0.7805118860235928
8.0,5.0,20.0,3000.0,0.7893333333333333,0.7924437163800746,0.7893333333333333,0.7863221508374766
8.0,5.0,20.0,3000.0,0.8,0.8005171791725493,0.8,0.7983775379584607
8.0,5.0,20.0,3000.0,0.8,0.8023790184359844,0.8,0.7995344209748318
8.0,5.0,20.0,3000.0,0.7733333333333333,0.779806456972385,0.7733333333333333,0.7742299112762118
8.0,5.0,20.0,3000.0,0.7546666666666667,0.7614576930832829,0.7546666666666667,0.7561697000066548
8.0,5.0,20.0,3000.0,0.7653333333333333,0.7654499218378453,0.7653333333333333,0.7638412012597928
8.0,5.0,20.0,3000.0,0.7813333333333333,0.7831404015202573,0.7813333333333333,0.7808392268322778
9.0,5.0,20.0,3000.0,0.781437125748503,0.7941655357934969,0.781437125748503,0.7828717416631064
9.0,5.0,20.0,3000.0,0.7904191616766467,0.794632283397436,0.7904191616766467,0.7899683946624304
9.0,5.0,20.0,3000.0,0.7724550898203593,0.7860457157845141,0.7724550898203593,0.7776467081395315
9.0,5.0,20.0,3000.0,0.7807807807807807,0.7871928342767603,0.7807807807807807,0.7800097668468977
9.0,5.0,20.0,3000.0,0.7897897897897898,0.7955084944942957,0.7897897897897898,0.7913220349521347
9.0,5.0,20.0,3000.0,0.7717717717717718,0.7712294868905909,0.7717717717717718,0.7655755535977693
9.0,5.0,20.0,3000.0,0.7417417417417418,0.7418701614780046,0.7417417417417418,0.7397644981753858
9.0,5.0,20.0,3000.0,0.7567567567567568,0.7570983551494305,0.7567567567567568,0.7551582141554322
9.0,5.0,20.0,3000.0,0.7957957957957958,0.797588534321165,0.7957957957957958,0.7939535964643968
10.0,5.0,20.0,3000.0,0.83,0.8307834728433283,0.83,0.8275471879356443
10.0,5.0,20.0,3000.0,0.7833333333333333,0.7818889847831024,0.7833333333333333,0.7773460482884018
10.0,5.0,20.0,3000.0,0.7866666666666666,0.7883651755651756,0.7866666666666666,0.7853798054951824
10.0,5.0,20.0,3000.0,0.81,0.8080978674719513,0.81,0.8069635659471874
10.0,5.0,20.0,3000.0,0.7666666666666667,0.7841798813730702,0.7666666666666667,0.7723159695112798
10.0,5.0,20.0,3000.0,0.7833333333333333,0.8050345934783504,0.7833333333333333,0.7884947419456715
10.0,5.0,20.0,3000.0,0.78,0.7776041083099906,0.78,0.7761830952604986
10.0,5.0,20.0,3000.0,0.7466666666666667,0.7530113902730717,0.7466666666666667,0.7484970573205316
10.0,5.0,20.0,3000.0,0.8033333333333333,0.7995799605573128,0.8033333333333333,0.7991978242945011
10.0,5.0,20.0,3000.0,0.7633333333333333,0.7745673909203321,0.7633333333333333,0.7664554904080229
11.0,5.0,20.0,3000.0,0.8095238095238095,0.8129378077982348,0.8095238095238095,0.8100110130901053
11.0,5.0,20.0,3000.0,0.8131868131868132,0.8196195938077332,0.8131868131868132,0.8141546727626664
11.0,5.0,20.0,3000.0,0.7838827838827839,0.788022696551799,0.7838827838827839,0.7851483530025265
11.0,5.0,20.0,3000.0,0.7985347985347986,0.7995677449752798,0.7985347985347986,0.7933798796666827
11.0,5.0,20.0,3000.0,0.7582417582417582,0.7655068511781913,0.7582417582417582,0.7597325560091402
11.0,5.0,20.0,3000.0,0.73992673992674,0.7613977715103463,0.73992673992674,0.7459310472126023
11.0,5.0,20.0,3000.0,0.7545787545787546,0.7509986160659273,0.7545787545787546,0.7519960002178739
11.0,5.0,20.0,3000.0,0.7655677655677655,0.7853090139729815,0.7655677655677655,0.7701958507039002
11.0,5.0,20.0,3000.0,0.8161764705882353,0.8250637575642992,0.8161764705882353,0.8181404120794062
11.0,5.0,20.0,3000.0,0.8125,0.8179737080535601,0.8125,0.8115005115307291
11.0,5.0,20.0,3000.0,0.7757352941176471,0.7785266682736145,0.7757352941176471,0.773915716841495
12.0,5.0,20.0,3000.0,0.812,0.815719802955665,0.812,0.8123572633134118
12.0,5.0,20.0,3000.0,0.756,0.7643939023939024,0.756,0.7572409289719071
12.0,5.0,20.0,3000.0,0.808,0.8096308925557202,0.808,0.8080433093821962
12.0,5.0,20.0,3000.0,0.78,0.7879001971331491,0.78,0.7729845177344654
12.0,5.0,20.0,3000.0,0.788,0.7935476826621655,0.788,0.7878884148604008
12.0,5.0,20.0,3000.0,0.732,0.7406982709298499,0.732,0.7332169958949237
