x,y
-41.110157,-8.007641
-32.664127,-56.961937
22.127684,41.249207
-26.855528,37.04473
-4.1786003,45.965527
27.328398,24.84836
2.0710602,56.467533
18.224962,-20.497211
47.259014,15.130727
-51.436348,35.12564
-35.956448,53.34716
-51.31563,11.962773
-37.43267,-23.841436
-9.803706,34.813046
18.065943,19.138794
6.72506,4.4683065
-29.098822,-49.1335
-1.816097,49.0405
-32.556168,19.792133
-18.769474,-2.7913847
-51.585537,10.842038
23.77732,-38.594852
3.3658357,24.61517
53.212074,5.720698
-29.707397,18.967121
49.723877,30.889782
22.54026,46.784702
-4.008353,20.029724
29.772345,-57.73949
46.14461,-13.602196
-8.826785,-13.830941
-30.974962,37.851257
0.99566996,-45.194523
-2.616281,26.432438
-22.007895,13.488384
-13.21925,-46.714222
-20.191788,7.2763486
56.01171,39.574207
52.73229,42.527046
37.5695,-5.446237
21.045448,60.99704
-14.859561,14.563592
-30.936481,-28.602339
-16.890095,29.170626
-14.990179,30.589079
8.544301,-39.572628
19.98571,4.2613454
15.021887,-63.990986
40.148315,-41.448452
18.44807,-2.779902
-2.9857874,-22.69599
10.365087,10.375124
55.1697,41.186024
22.856356,46.836136
40.052895,-24.438242
41.024742,51.963802
-27.513317,-35.285954
-47.590813,31.524042
-18.19122,19.728292
20.247404,43.469078
-0.18805398,-16.151142
-11.334436,-38.795235
15.860007,25.056652
-10.245627,47.16157
-8.680023,-27.431059
-52.190956,31.778038
2.0087006,-24.99666
-31.550491,-13.081667
-55.733044,-21.74294
47.14902,-15.4502125
33.330524,9.518971
-64.770325,15.707519
59.721992,-6.215078
9.822229,45.18557
25.481144,13.463462
-62.481598,-4.3651443
0.53840846,39.59562
18.582731,45.84422
3.0459652,11.466176
6.7608767,-31.79634
-26.363268,4.4439535
31.619686,7.0060697
31.590706,19.311905
-48.151493,19.468317
54.011143,-26.385574
2.7692707,18.357635
19.64443,-54.811977
-31.585186,-1.3535991
4.656569,9.520394
24.881948,55.764793
-13.636866,60.762634
12.210156,-27.166471
-27.12493,40.03989
41.58579,-11.902235
33.169266,-53.440254
-25.08815,1.4704616
22.58255,-54.015873
-48.868378,-16.925743
30.56405,11.617982
-30.95878,-7.6101704
-54.16419,-2.049531
-8.50402,-14.852281
-12.946062,39.54609
14.638035,-16.918694
-35.442924,-5.550799
-40.79102,48.370735
-63.057434,1.8334016
5.7450824,-21.658257
14.831756,17.75379
56.727528,-6.455803
