size,acc
4710,0.9
4720,0.88
4730,0.88
4740,0.88
4750,0.86
4760,0.88
4770,0.88
4780,0.86
4790,0.92
4800,0.86
4810,0.94
4820,0.9
4830,0.9
4840,0.92
4850,0.86
4860,0.9
4870,0.92
4880,0.9
4890,0.88
4900,0.84
4910,0.9
4920,0.92
4930,0.9
4940,0.84
4950,0.92
4960,0.86
4970,0.88
4980,0.88
4990,0.88
5000,0.94
5010,0.9
5020,0.86
5030,0.9
5040,0.9
5050,0.88
5060,0.9
5070,0.84
5080,0.94
5090,0.88
5100,0.9
5110,0.84
5120,0.9
5130,0.92
5140,0.88
5150,0.92
5160,0.92
5170,0.88
5180,0.9
5190,0.96
5200,0.9
5210,0.88
5220,0.94
5230,0.88
5240,0.92
5250,0.88
5260,0.9
5270,0.94
5280,0.86
5290,0.9
5300,0.9
5310,0.92
5320,0.92
5330,0.88
5340,0.92
5350,0.92
5360,0.9
5370,0.92
5380,0.9
5390,0.92
5400,0.88
5410,0.9
5420,0.9
5430,0.92
5440,0.86
5450,0.92
5460,0.9
5470,0.86
5480,0.86
5490,0.92
5500,0.9
5510,0.9
5520,0.88
5530,0.94
5540,0.94
5550,0.94
5560,0.9
5570,0.86
5580,0.92
5590,0.92
5600,0.94
5610,0.96
5620,0.88
5630,0.88
5640,0.88
5650,0.9
5660,0.88
5670,0.88
5680,0.88
5690,0.94
5700,0.88
5710,0.88
5720,0.94
5730,0.94
5740,0.88
5750,0.88
5760,0.9
5770,0.86
5780,0.9
5790,0.9
5800,0.94
5810,0.98
5820,0.88
5830,0.92
5840,0.92
5850,0.92
5860,0.94
5870,0.94
5880,0.88
5890,0.96
5900,0.9
5910,0.84
5920,0.88
5930,0.88
5940,0.88
5950,0.92
5960,0.86
5970,0.96
5980,0.9
5990,0.88
6000,0.9
6010,0.9
6020,0.92
6030,0.88
6040,0.86
6050,0.86
6060,0.88
6070,0.94
6080,0.92
6090,0.9
6100,0.88
6110,0.9
6120,0.9
6130,0.9
6140,0.9
6150,0.9
6160,0.92
6170,0.86
6180,0.9
6190,0.86
6200,0.92
6210,0.92
6220,0.9
6230,0.92
6240,0.92
6250,0.92
6260,0.88
6270,0.9
6280,0.84
6290,0.84
6300,0.92
6310,0.88
6320,0.92
6330,0.84
6340,0.92
6350,0.9
6360,0.88
6370,0.92
6380,0.88
6390,0.94
6400,0.9
6410,0.86
6420,0.9
6430,0.88
6440,0.9
6450,0.94
6460,0.9
6470,0.9
6480,0.92
6490,0.9
6500,0.94
6510,0.88
6520,0.9
6530,0.94
6540,0.88
6550,0.92
6560,0.88
6570,0.88
6580,0.9
6590,0.9
6600,0.92
6610,0.9
6620,0.9
6630,0.9
6640,0.88
6650,0.9
6660,0.92
6670,0.9
6680,0.9
6690,0.9
6700,0.88
6710,0.94
6720,0.88
6730,0.9
6740,0.9
6750,0.92
6760,0.96
6770,0.88
6780,0.92
6790,0.9
6800,0.92
6810,0.88
6820,0.9
6830,0.92
6840,0.92
6850,0.9
6860,0.92
6870,0.92
6880,0.84
6890,0.88
6900,0.94
6910,0.92
6920,0.88
6930,0.9
6940,0.92
6950,0.9
6960,0.9
6970,0.9
6980,0.88
6990,0.92
7000,0.92
7010,0.92
7020,0.9
7030,0.88
7040,0.9
7050,0.9
7060,0.92
7070,0.88
7080,0.92
7090,0.86
7100,0.94
7110,0.88
7120,0.9
7130,0.88
7140,0.92
7150,0.9
7160,0.88
7170,0.92
7180,0.88
7190,0.92
7200,0.92
7210,0.96
7220,0.9
7230,0.94
7240,0.86
7250,0.94
7260,0.94
7270,0.9
7280,0.9
7290,0.9
7300,0.9
7310,0.94
7320,0.9
7330,0.86
7340,0.96
7350,0.86
7360,0.92
7370,0.9
7380,0.88
7390,0.88
7400,0.92
7410,0.94
7420,0.92
7430,0.9
7440,0.88
7450,0.88
7460,0.88
7470,0.9
7480,0.9
7490,0.92
7500,0.92
7510,0.88
7520,0.92
7530,0.92
7540,0.94
7550,0.94
7560,0.9
7570,0.94
7580,0.88
7590,0.92
7600,0.94
7610,0.9
7620,0.9
7630,0.88
7640,0.92
7650,0.86
7660,0.9
7670,0.92
7680,0.92
7690,0.92
7700,0.9
7710,0.96
7720,0.88
7730,0.86
7740,0.88
7750,0.88
7760,0.9
7770,0.86
7780,0.9
7790,0.88
7800,0.92
7810,0.92
7820,0.86
7830,0.92
7840,0.9
7850,0.94
7860,0.86
7870,0.9
7880,0.92
7890,0.9
7900,0.88
7910,0.92
7920,0.92
7930,0.96
7940,0.88
7950,0.92
7960,0.92
7970,0.9
7980,0.92
7990,0.88
8000,0.92
8010,0.94
8020,0.86
8030,0.92
8040,0.9
8050,0.94
8060,0.94
8070,0.9
8080,0.92
8090,0.94
8100,0.86
8110,0.88
8120,0.9
8130,0.88
